average_rating,cast_1,cast_2,cast_3,cast_4,cast_5,country,director,genres,language,letterboxd_uri,poster_url,runtime,studio,synopsis,title,watched_by,year
3.30,Jack Black (Po (voice)),Bryan Cranston (Li (voice)),Dustin Hoffman (Shifu (voice)),Angelina Jolie (Tigress (voice)),J.K. Simmons (Kai (voice)),China,"Jennifer Yuh Nelson, Alessandro Carloni","Adventure, Comedy, Action, Family, Animation",English,https://boxd.it/4uRQ,https://a.ltrbxd.com/resized/sm/upload/2f/24/zk/76/kung-fu-panda-3-1200-1200-675-675-crop-000000.jpg?v=dd4af7666e,95,"DreamWorks Animation, Oriental DreamWorks, Zhong Ming You Ying Film, China Film Group Corporation 中国电影集团 (CFGC)","While Po and his father are visiting a secret panda village, an evil spirit threatens all of China, forcing Po to form a ragtag army to fight back.",Kung Fu Panda 3,"Reid, Zach",2016
3.27,Ben Stiller (Alex (voice)),Chris Rock (Marty / Additional Zebras (voice)),David Schwimmer (Melman (voice)),Jada Pinkett Smith (Gloria (voice)),Sacha Baron Cohen (Julien (voice)),USA,"Eric Darnell, Tom McGrath","Animation, Family, Comedy, Adventure",English,https://boxd.it/1W2K,https://a.ltrbxd.com/resized/sm/upload/g4/l1/jr/54/madagascar-2-1200-1200-675-675-crop-000000.jpg?v=6ac6c7a43f,89,"DreamWorks Animation, Pacific Data Images","Alex, Marty, and other zoo animals find a way to escape from Madagascar when the penguins reassemble a wrecked airplane. The precariously repaired craft stays airborne just long enough to make it to the African continent. There the New Yorkers encounter members of their own species for the first time. Africa proves to be a wild place, but Alex and company wonder if it is better than their Central Park home.",Madagascar: Escape 2 Africa,"Reid, Zach",2008
3.14,Ben Stiller (Alex (voice)),Chris Rock (Marty (voice)),David Schwimmer (Melman (voice)),Jada Pinkett Smith (Gloria (voice)),Frances McDormand (Captain Chantel DuBois (voice)),USA,"Eric Darnell, Tom McGrath et al","Comedy, Family, Adventure, Animation",English,https://boxd.it/2NF6,https://a.ltrbxd.com/resized/sm/upload/om/8z/fg/zp/madagascar-3-europes-most-wanted-1200-1200-675-675-crop-000000.jpg?v=c072ac9d17,93,"DreamWorks Animation, Pacific Data Images","Animal pals Alex, Marty, Melman, and Gloria are still trying to make it back to New York's Central Park Zoo. They are forced to take a detour to Europe to find the penguins and chimps who broke the bank at a Monte Carlo casino. When French animal-control officer Capitaine Chantel DuBois picks up their scent, Alex and company are forced to hide out in a traveling circus.",Madagascar 3: Europe's Most Wanted,"Reid, Zach",2012
3.37,Robert Downey Jr. (Sherlock Holmes),Jude Law (Dr. John Watson),Noomi Rapace (Madam Simza Heron),Jared Harris (Professor James Moriarty),Rachel McAdams (Irene Adler),USA,Guy Ritchie,"Mystery, Adventure, Crime",English,https://boxd.it/k3S,https://a.ltrbxd.com/resized/sm/upload/v3/g3/ly/ql/sherlock-holmes-a-game-of-shadows-1200-1200-675-675-crop-000000.jpg?v=7e09cba280,129,"Village Roadshow Pictures, Silver Pictures, Wigram Productions, Lin Pictures","There is a new criminal mastermind at large (Professor Moriarty) and not only is he Holmes’ intellectual equal, but his capacity for evil and lack of conscience may give him an advantage over the detective.",Sherlock Holmes: A Game of Shadows,"Reid, Zach",2011
2.62,Alec Baldwin (Theodore Templeton (voice)),Steve Buscemi (Francis E. Francis (voice)),Miles Bakshi (Tim Templeton (voice)),Jimmy Kimmel (Ted Templeton (voice)),Lisa Kudrow (Janice Templeton (voice)),USA,Tom McGrath,"Animation, Comedy, Family",English,https://boxd.it/9mfO,https://a.ltrbxd.com/resized/sm/upload/yt/4e/ok/tw/the-boss-baby-1200-1200-675-675-crop-000000.jpg?v=169e5f6c79,97,DreamWorks Animation,"A story about how a new baby's arrival impacts a family, told from the point of view of a delightfully unreliable narrator, a wildly imaginative 7 year old named Tim.",The Boss Baby,"Reid, Zach",2017
3.84,Keanu Reeves (John Wick),Michael Nyqvist (Viggo Tarasov),Alfie Allen (Iosef Tarasov),Willem Dafoe (Marcus),Dean Winters (Avi),USA,Chad Stahelski,"Action, Thriller",English,https://boxd.it/7dEc,https://a.ltrbxd.com/resized/sm/upload/wp/bs/m0/17/john-wick-1200-1200-675-675-crop-000000.jpg?v=a0df875fb4,101,"87Eleven, DefyNite Films, MJW Films, Thunder Road",Ex-hitman John Wick comes out of retirement to track down the gangsters that took everything from him.,John Wick,"Reid, Zach",2014
3.71,Keanu Reeves (John Wick),Common (Cassian),Laurence Fishburne (Bowery King),Riccardo Scamarcio (Santino D'Antonio),Ruby Rose (Ares),USA,Chad Stahelski,"Crime, Action, Thriller",English,https://boxd.it/ayGu,https://a.ltrbxd.com/resized/sm/upload/de/gu/a5/e4/john-wick-2-1200-1200-675-675-crop-000000.jpg?v=033ad850c4,122,"Thunder Road, 87Eleven, Summit Entertainment","John Wick is forced out of retirement by a former associate looking to seize control of a shadowy international assassins’ guild. Bound by a blood oath to aid him, Wick travels to Rome and does battle against some of the world’s most dangerous killers.",John Wick: Chapter 2,"Reid, Zach",2017
3.42,Jim Carrey (Stanley Ipkiss / The Mask),Peter Riegert (Mitch Kellaway),Peter Greene (Dorian Tyrrell),Amy Yasbeck (Peggy Brandt),Richard Jeni (Charlie Schumaker),USA,Chuck Russell,"Fantasy, Romance, Crime, Comedy",English,https://boxd.it/29rS,https://a.ltrbxd.com/resized/sm/upload/22/02/m2/oa/the-mask-1200-1200-675-675-crop-000000.jpg?v=19b69a05f4,101,"Dark Horse Entertainment, New Line Cinema","Stanley Ipkiss, an insecure banker who has lost his zest for life stumbles upon an ancient mask, that turns him into a confident suave cartoon-like character who upsets his ordinary life.",The Mask,"Reid, Zach",1994
3.27,Jim Carrey (Bruce Nolan),Morgan Freeman (God),Jennifer Aniston (Grace Connelly),Philip Baker Hall (Jack Baylor),Catherine Bell (Susan Ortega),USA,Tom Shadyac,"Comedy, Fantasy",English,https://boxd.it/2aCC,https://a.ltrbxd.com/resized/sm/upload/32/w2/0c/x8/bruce-almighty-1200-1200-675-675-crop-000000.jpg?v=68ad5fbef0,101,"Pit Bull Productions, Spyglass Entertainment, Universal Pictures, Shady Acres Entertainment","Bruce Nolan toils as a ""human interest"" television reporter in Buffalo, NY, but despite his high ratings and the love of his beautiful girlfriend, Bruce remains unfulfilled. At the end of the worst day in his life, he angrily ridicules God — and the Almighty responds, endowing Bruce with all of His divine powers.",Bruce Almighty,"Reid, Zach",2003
3.33,Jim Carrey (Fletcher Reede),Maura Tierney (Audrey Reede),Justin Cooper (Max Reede),Cary Elwes (Jerry),Anne Haney (Greta),USA,Tom Shadyac,"Comedy, Fantasy",English,https://boxd.it/28sg,https://a.ltrbxd.com/resized/sm/upload/8l/d1/9h/hk/liar-liar-1200-1200-675-675-crop-000000.jpg?v=9cbd81044f,86,"Universal Pictures, Imagine Entertainment","Forced by his son's birthday wish, fast-talking attorney and habitual liar Fletcher Reede must tell the truth for the next 24 hours.",Liar Liar,"Reid, Zach",1997
3.38,Jim Carrey (Lloyd Christmas),Jeff Daniels (Harry Dunne),Lauren Holly (Mary Swanson),Teri Garr (Helen Swanson),Charles Rocket (Nicholas Andre),USA,Peter Farrelly,Comedy,English,https://boxd.it/206m,https://a.ltrbxd.com/resized/sm/upload/ih/i4/y1/qs/dumb-dumber-1200-1200-675-675-crop-000000.jpg?v=9bb1c0ce74,107,"New Line Cinema, Motion Picture Corporation of America","Lloyd and Harry are two men whose stupidity is really indescribable. When Mary, a beautiful woman, loses an important suitcase with money before she leaves for Aspen, the two friends (who have found the suitcase) decide to return it to her. After some ""adventures"" they finally get to Aspen where, using the lost money they live it up and fight for Mary's heart.",Dumb and Dumber,"Reid, Zach",1994
3.21,Jim Carrey (Ace Ventura),Courteney Cox (Melissa Robinson),Sean Young (Lt. Lois Einhorn),Tone Loc (Emilio),Dan Marino (Dan Marino),USA,Tom Shadyac,"Crime, Comedy, Mystery",English,https://boxd.it/25RW,https://a.ltrbxd.com/resized/sm/upload/0o/gu/38/23/ace-ventura-pet-detective-1200-1200-675-675-crop-000000.jpg?v=6bd0c6a1f4,86,Morgan Creek Entertainment,"He's Ace Ventura: Pet Detective. The Ace is on the case to find the Miami Dolphins' missing mascot and quarterback Dan Marino. He goes eyeball to eyeball with a man-eating shark, stakes out the Miami Dolphins and woos and wows the ladies. Whether he's undercover, under fire or underwater, he always gets his man… or beast!",Ace Ventura: Pet Detective,"Reid, Zach",1994
3.18,Jim Carrey (Carl Allen),Zooey Deschanel (Renee Allison),Bradley Cooper (Peter),John Michael Higgins (Nick),Rhys Darby (Norman),UK,Peyton Reed,"Romance, Comedy",English,https://boxd.it/1WPW,https://a.ltrbxd.com/resized/sm/upload/7w/5r/ju/sn/yes-man-1200-1200-675-675-crop-000000.jpg?v=346712adfe,104,"Warner Bros. Pictures, Village Roadshow Pictures, Heyday Films, The Zanuck Company","Carl Allen, a guy whose life is going nowhere, signs up for a self-help program based on one simple covenant: say yes to everything…and anything.",Yes Man,"Reid, Zach",2008
3.23,Jim Carrey (Scrooge / Ghosts of Christmas (voice)),Gary Oldman (Bob Cratchit / Marley / Tiny Tim (voice)),Colin Firth (Fred (voice)),Robin Wright (Fan / Belle (voice)),Cary Elwes (Portly Gentleman / Dick Wilkins / Fiddler / Business Man (voice)),USA,Robert Zemeckis,"Animation, Fantasy, Drama, Family",English,https://boxd.it/1HKW,https://a.ltrbxd.com/resized/sm/upload/l5/e0/oh/k5/christmas-carol-1200-1200-675-675-crop-000000.jpg?v=db25e4a6ae,96,"Walt Disney Pictures, ImageMovers Digital","Miser Ebenezer Scrooge is awakened on Christmas Eve by spirits who reveal to him his own miserable existence, what opportunities he wasted in his youth, his current cruelties, and the dire fate that awaits him if he does not change his ways. Scrooge is faced with his own story of growing bitterness and meanness, and must decide what his own future will hold: death or redemption.",A Christmas Carol,"Reid, Zach",2009
3.13,Jim Carrey (Horton (voice)),Steve Carell (Mayor (voice)),Carol Burnett (Kangaroo (voice)),Will Arnett (Vlad (voice)),Seth Rogen (Morton (voice)),USA,"Jimmy Hayward, Steve Martino","Comedy, Family, Adventure, Fantasy, Animation",English,https://boxd.it/1SfA,https://a.ltrbxd.com/resized/sm/upload/sa/cm/fc/mn/horton-hears-a-who-1200-1200-675-675-crop-000000.jpg?v=8297f763e7,86,"Blue Sky Studios, 20th Century Fox Animation","An imaginative elephant named Horton hears a faint cry for help coming from a tiny speck of dust floating through the air. Horton suspects there may be life on that speck and despite a surrounding community, who thinks he has lost his mind, he is determined to save the tiny particle.",Horton Hears a Who!,"Reid, Zach",2008
3.01,Will Ferrell (Ron Burgundy),Steve Carell (Brick Tamland),Paul Rudd (Brian Fantana),David Koechner (Champ Kind),Christina Applegate (Veronica Corningstone),USA,Adam McKay,Comedy,English,https://boxd.it/3GNk,https://a.ltrbxd.com/resized/sm/upload/ku/hh/uw/j0/anchorman-2-1200-1200-675-675-crop-000000.jpg?v=cb50824458,119,"Gary Sanchez Productions, Paramount Pictures, Apatow Productions","With the 70s behind him, San Diego's top rated newsman, Ron Burgundy, returns to take New York's first 24-hour news channel by storm.",Anchorman 2: The Legend Continues,"Reid, Zach",2013
2.72,Jim Carrey (Mr. Popper),Carla Gugino (Amanda),Angela Lansbury (Mrs. Van Gundy),Ophelia Lovibond (Pippi),Madeline Carroll (Janie),USA,Mark Waters,"Comedy, Family",English,https://boxd.it/kRS,https://a.ltrbxd.com/resized/sm/upload/jd/xb/67/qv/mr-poppers-penguins-1200-1200-675-675-crop-000000.jpg?v=5a92e8945d,94,"Davis Entertainment, Dune Entertainment III, Dune Entertainment, 20th Century Fox","Tom Popper is a successful businessman who’s clueless when it comes to the really important things in life...until he inherits six “adorable” penguins, each with its own unique personality. Soon Tom’s rambunctious roommates turn his swank New York apartment into a snowy winter wonderland — and the rest of his world upside-down.",Mr. Popper's Penguins,"Reid, Zach",2011
2.41,Jim Carrey (Lloyd Christmas),Jeff Daniels (Harry Dunne),Laurie Holden (Adele),Rachel Melvin (Penny),Kathleen Turner (Fraida),USA,"Bobby Farrelly, Peter Farrelly",Comedy,English,https://boxd.it/3qPk,https://a.ltrbxd.com/resized/sm/upload/sv/n2/z2/ve/dumb-and-dumber-2-1200-1200-675-675-crop-000000.jpg?v=ffc63db810,110,"New Line Cinema, Universal Pictures, Conundrum Entertainment, Red Granite Pictures","20 years since their first adventure, Lloyd and Harry go on a road trip to find Harry's newly discovered daughter, who was given up for adoption.",Dumb and Dumber To,"Reid, Zach",2014
3.31,Adam Sandler (Lenny Feder),Kevin James (Eric Lamonsoff),Chris Rock (Kurt McKenzie),David Spade (Marcus Higgins),Rob Schneider (Rob Hilliard),USA,Dennis Dugan,Comedy,English,https://boxd.it/169a,https://a.ltrbxd.com/resized/sm/upload/57/qa/57/rc/grown%20ups-1200-1200-675-675-crop-000000.jpg?v=229b42721a,102,"Columbia Pictures, Relativity Media, Happy Madison Productions","After their high school basketball coach passes away, five good friends and former teammates reunite for a Fourth of July holiday weekend.",Grown Ups,"Reid, Zach",2010
3.95,Adam Sandler (Howard Ratner),LaKeith Stanfield (Demany),Julia Fox (Julia De Flore),Kevin Garnett (Kevin Garnett),Idina Menzel (Dinah Ratner),USA,"Josh Safdie, Benny Safdie","Crime, Thriller, Drama",English,https://boxd.it/gXGc,https://a.ltrbxd.com/resized/sm/upload/jr/zc/xo/iw/uncut-gems-1200-1200-675-675-crop-000000.jpg?v=3ae14b9389,136,"A24, Elara Pictures, IAC Films, Sikelia Productions, Scott Rudin Productions","A charismatic New York City jeweler always on the lookout for the next big score makes a series of high-stakes bets that could lead to the windfall of a lifetime. Howard must perform a precarious high-wire act, balancing business, family, and encroaching adversaries on all sides in his relentless pursuit of the ultimate win.",Uncut Gems,"Reid, Zach",2019
3.41,Adam Sandler (Henry Roth),Drew Barrymore (Lucy Whitmore),Rob Schneider (Ula),Sean Astin (Doug Whitmore),Lusia Strus (Alexa),USA,Peter Segal,"Comedy, Romance",English,https://boxd.it/285c,https://a.ltrbxd.com/resized/sm/upload/kb/g2/8u/uj/50-first-dates-1200-1200-675-675-crop-000000.jpg?v=6bd2a79acb,99,"Columbia Pictures, Anonymous Content, Flower Films, Happy Madison Productions","Henry is a player skilled at seducing women. But when this veterinarian meets Lucy, a girl with a quirky problem when it comes to total recall, he realizes it's possible to fall in love all over again…and again, and again. That's because the delightful Lucy has no short-term memory, so Henry must woo her day after day until he finally sweeps her off her feet.",50 First Dates,"Reid, Zach",2004
2.72,Adam Sandler (Happy Gilmore),Julie Bowen (Virginia),Christopher McDonald (Shooter McGavin),Benny Safdie (Frank Manatee),Ben Stiller (Hal L),USA,Kyle Newacheck,Comedy,English,https://boxd.it/M8PQ,https://a.ltrbxd.com/resized/sm/upload/iu/l7/6u/8t/p9heMCUK7E0YXqoDsojuAGwvPiy-1200-1200-675-675-crop-000000.jpg?v=8c987ef30f,118,Happy Madison Productions,"Happy Gilmore isn't done with golf — not by a long shot. Since his retirement after his first Tour Championship win, Gilmore returns to finance his daughter's ballet classes.",Happy Gilmore 2,"Reid, Zach",2025
3.42,Adam Sandler (Happy Gilmore),Christopher McDonald (Shooter McGavin),Julie Bowen (Virginia Venit),Frances Bay (Grandma),Carl Weathers (Chubbs Peterson),USA,Dennis Dugan,Comedy,English,https://boxd.it/1Yey,https://a.ltrbxd.com/resized/sm/upload/ig/vq/wb/iz/happy-gilmore-210-1200-1200-675-675-crop-000000.jpg?v=4a86de75b0,92,"Universal Pictures, Brillstein-Grey Entertainment, Robert Simonds Productions","Failed hockey player-turned-golf whiz Happy Gilmore — whose unconventional approach and antics on the green courts the ire of rival Shooter McGavin — is determined to win a PGA tournament so he can save his granny's house with the prize money. Meanwhile, an attractive tour publicist tries to soften Happy's image.",Happy Gilmore,"Reid, Zach",1996
3.39,Adam Sandler (Count Dracula (voice)),Andy Samberg (Jonathan Loughran (voice)),Selena Gomez (Mavis Dracula (voice)),Kevin James (Frankenstein (voice)),Fran Drescher (Eunice (voice)),USA,Genndy Tartakovsky,"Comedy, Animation, Fantasy, Family",English,https://boxd.it/2DF6,https://a.ltrbxd.com/resized/sm/upload/vn/am/hs/wx/hotel-transylvania-1200-1200-675-675-crop-000000.jpg?v=0218344457,91,"Columbia Pictures, Sony Pictures Animation","Welcome to Hotel Transylvania, Dracula's lavish five-stake resort, where monsters and their families can live it up and no humans are allowed. One special weekend, Dracula has invited all his best friends to celebrate his beloved daughter Mavis's 118th birthday. For Dracula catering to all of these legendary monsters is no problem but the party really starts when one ordinary guy stumbles into the hotel and changes everything!",Hotel Transylvania,"Reid, Zach",2012
2.99,Adam Sandler (Michael Newman),Kate Beckinsale (Donna Newman),Christopher Walken (Morty),David Hasselhoff (Ammer),Henry Winkler (Ted),USA,Frank Coraci,"Fantasy, Drama, Comedy",English,https://boxd.it/1YVM,https://a.ltrbxd.com/resized/sm/upload/dn/nh/ek/0v/click-1200-1200-675-675-crop-000000.jpg?v=0113a59c6f,107,"Original Film, Revolution Studios, Columbia Pictures, Happy Madison Productions","A married workaholic, Michael Newman doesn't have time for his wife and children, not if he's to impress his ungrateful boss and earn a well-deserved promotion. So when he meets Morty, a loopy sales clerk, he gets the answer to his prayers: a magical remote that allows him to bypass life's little distractions with increasingly hysterical results.",Click,"Reid, Zach",2006
2.80,Adam Sandler (Nick Spitz),Jennifer Aniston (Audrey Spitz),Luke Evans (Charles Cavendish),Terence Stamp (Malcolm Quince),Gemma Arterton (Grace Ballard),USA,Kyle Newacheck,"Comedy, Mystery",English,https://boxd.it/iEBm,https://a.ltrbxd.com/resized/sm/upload/br/c9/r7/ai/murder-mystery-1200-1200-675-675-crop-000000.jpg?v=7cbefbe29f,97,"Vinson Films, Endgame Entertainment, Tower Hill Entertainment, Denver & Delilah Productions, Happy Madison Productions","On a long-awaited trip to Europe, a New York City cop and his hairdresser wife scramble to solve a baffling murder aboard a billionaire's yacht.",Murder Mystery,"Reid, Zach",2019
2.89,Adam Sandler (Lenny Feder),Kevin James (Eric Lamonsoff),Chris Rock (Kurt McKenzie),David Spade (Marcus Higgins),Salma Hayek Pinault (Roxanne Chase-Feder),USA,Dennis Dugan,Comedy,English,https://boxd.it/3GAq,https://a.ltrbxd.com/resized/sm/upload/i4/fz/p7/vr/grown-ups-2-1200-1200-675-675-crop-000000.jpg?v=a0ed6e862b,101,"Columbia Pictures, Happy Madison Productions","Lenny has relocated his family back to the small town where he and his friends grew up. This time around, the grown ups are the ones learning lessons from their kids on a day notoriously full of surprises—the last day of school.",Grown Ups 2,"Reid, Zach",2013
2.42,Adam Sandler (Brenner),Kevin James (Cooper),Michelle Monaghan (Violet),Peter Dinklage (Eddie),Josh Gad (Ludlow),China,Chris Columbus,"Science Fiction, Action, Comedy",English,https://boxd.it/7BaA,https://a.ltrbxd.com/resized/sm/upload/f1/ct/oh/jq/pixels-2015-1200-1200-675-675-crop-000000.jpg?v=60454a6beb,106,"Columbia Pictures, Happy Madison Productions, 1492 Pictures, LStar Capital, Film Croppers Entertainment, Prime Focus, China Film Group Corporation 中国电影集团 (CFGC)",Video game experts are recruited by the military to fight 1980s-era video game characters who've attacked New York.,Pixels,"Reid, Zach",2015
3.03,Adam Sandler (Dracula (voice)),Andy Samberg (Johnny Loughran (voice)),Selena Gomez (Mavis Dracula (voice)),Kevin James (Frankenstein (voice)),Steve Buscemi (Wayne (voice)),USA,Genndy Tartakovsky,"Fantasy, Family, Animation, Comedy",English,https://boxd.it/4ZLk,https://a.ltrbxd.com/resized/sm/upload/p3/wo/r1/up/hotel-transylvania-2-1200-1200-675-675-crop-000000.jpg?v=79bddc9388,89,"Columbia Pictures, Sony Pictures Animation, MRC","When the old-old-old-fashioned vampire Vlad arrives at the hotel for an impromptu family get-together, Hotel Transylvania is in for a collision of supernatural old-school and modern day cool.",Hotel Transylvania 2,"Reid, Zach",2015
2.55,Adam Sandler (Zohan Dvir),Emmanuelle Chriqui (Dalia Hakbarah),John Turturro (Fatoush 'The Phantom' Hakbarah),Nick Swardson (Michael Klayman),Lainie Kazan (Gail Klayman),USA,Dennis Dugan,"Action, Comedy",English,https://boxd.it/1VHs,https://a.ltrbxd.com/resized/sm/upload/q8/i4/yp/k6/you-dont-mess-with-the-zohan-1200-1200-675-675-crop-000000.jpg?v=77c2e3e82d,113,"Relativity Media, Happy Madison Productions, Columbia Pictures",An Israeli counterterrorism soldier with a secretly fabulous ambition to become a Manhattan hairstylist. Zohan's desire runs so deep that he'll do anything -- including faking his own death and going head-to-head with an Arab cab driver -- to make his dreams come true.,You Don't Mess with the Zohan,"Reid, Zach",2008
3.05,Adam Sandler (Billy Madison),Bradley Whitford (Eric Gordon),Josh Mostel (Principal Max Anderson),Bridgette Wilson-Sampras (Veronica Vaughn),Darren McGavin (Brian Madison),USA,Tamra Davis,Comedy,English,https://boxd.it/1UQI,https://a.ltrbxd.com/resized/sm/upload/9w/ov/e6/5d/billy-madison-1200-1200-675-675-crop-000000.jpg?v=a7150460e0,90,"Jack Giarraputo Productions, Universal Pictures, Robert Simonds Productions","Billy Madison is the 27 year-old son of Bryan Madison, a very rich man who has made his living in the hotel industry. Billy stands to inherit his father's empire, but only if he can make it through all 12 grades, 2 weeks per grade, to prove that he has what it takes to run the family business.",Billy Madison,"Reid, Zach",1995
3.13,Adam Sandler (Paul Crewe),Chris Rock (Caretaker),James Cromwell (Warden Hazen),Nelly (Megget),Michael Irvin (Deacon Moss),USA,Peter Segal,"Crime, Drama, Comedy",English,https://boxd.it/1Z3c,https://a.ltrbxd.com/resized/sm/upload/ay/oj/j1/fu/the-longest-yard-1200-1200-675-675-crop-000000.jpg?v=4d49c97764,113,"Callahan Filmworks, Paramount Pictures, MTV Films, Columbia Pictures, Happy Madison Productions","Disgraced pro football quarterback Paul Crewe lands in a Texas federal penitentiary, where manipulative Warden Hazen recruits him to advise the institution's football team of prison guards. Crewe suggests a tune-up game which lands him quarterbacking a crew of inmates in a game against the guards. Aided by incarcerated ex-NFL coach and player Nate Scarborough, Crewe and his team must overcome not only the bloodthirstiness of the opposition, but also the corrupt warden trying to fix the game against them.",The Longest Yard,"Reid, Zach",2005
2.90,Adam Sandler (Skeeter Bronson),Keri Russell (Jill),Guy Pearce (Kendall),Courteney Cox (Wendy),Lucy Lawless (Aspen),USA,Adam Shankman,"Fantasy, Comedy, Romance, Family",English,https://boxd.it/1WPM,https://a.ltrbxd.com/resized/sm/upload/3w/6e/wn/n1/bedtime-stories-1200-1200-675-675-crop-000000.jpg?v=60f9e56dfe,99,"Walt Disney Pictures, Gunn Films, Happy Madison Productions",Skeeter Bronson is a down-on-his-luck guy who's always telling bedtime stories to his niece and nephew. But his life is turned upside down when the fantastical stories he makes up for entertainment inexplicably turn into reality. Can a bewildered Skeeter manage his own unruly fantasies now that the outrageous characters and situations from his mind have morphed into actual people and events?,Bedtime Stories,"Reid, Zach",2008
2.97,Adam Sandler (Bobby Boucher),Kathy Bates (Mama Boucher),Henry Winkler (Coach Klein),Fairuza Balk (Vicki Vallencourt),Jerry Reed (Red Beaulieu),USA,Frank Coraci,Comedy,English,https://boxd.it/1VHi,https://a.ltrbxd.com/resized/sm/upload/2u/rj/rl/ye/the-waterboy-1200-1200-675-675-crop-000000.jpg?v=d0c604da3d,90,Touchstone Pictures,Bobby Boucher is a water boy for a struggling college football team. The coach discovers Boucher's hidden rage makes him a tackling machine whose bone-crushing power might vault his team into the playoffs.,The Waterboy,"Reid, Zach",1998
2.25,Kevin James (Griffin Keyes),Rosario Dawson (Kate),Leslie Bibb (Stephanie),Joe Rogan (Gale),Nat Faxon (Dave),USA,Frank Coraci,"Comedy, Romance, Family",English,https://boxd.it/16gq,https://a.ltrbxd.com/resized/sm/upload/vl/mo/gl/9c/zookeeper-1200-1200-675-675-crop-000000.jpg?v=7c67a8a8b0,102,"Broken Road Productions, Hey Eddie, Happy Madison Productions, Columbia Pictures, Metro-Goldwyn-Mayer","Kindhearted Griffin Keyes is one of the best-loved caretakers at the Franklin Park Zoo, but he's more comfortable with the animals than with females of his own species as proven by his failed marriage proposal to the self-absorbed Stephanie several years ago. The animals have listened to Griffin pine over her for years and, after she reappears in his life, they decide to help Griffin rekindle the relationship and become the alpha male she wants him to be. They inadvertently reveal their secret ability to talk and, after Griffin's initial shock, teach him the rules of courtship, animal-style. Surprisingly, the animals' advice really works and Griffin is about to get everything he's ever dreamed of--or is he?",Zookeeper,"Reid, Zach",2011
2.01,Adam Sandler (Tommy),Terry Crews (Chico),Jorge Garcia (Herm),Taylor Lautner (Lil Pete),Rob Schneider (Ramon),USA,Frank Coraci,"Action, Adventure, Comedy, Western",English,https://boxd.it/bFXk,https://a.ltrbxd.com/resized/sm/upload/c0/o2/cy/fu/the-ridiculous-6-1200-1200-675-675-crop-000000.jpg?v=29cb4517a9,119,Happy Madison Productions,"When his long-lost outlaw father returns, Tommy ""White Knife"" Stockburn goes on an adventure-filled journey across the Old West with his five brothers.",The Ridiculous 6,"Reid, Zach",2015
3.45,Mitchel Musso (DJ (voice)),Sam Lerner (Chowder (voice)),Spencer Locke (Jenny (voice)),Steve Buscemi (Nebbercracker (voice)),Maggie Gyllenhaal (Zee (voice)),USA,Gil Kenan,"Animation, Family, Comedy, Fantasy",English,https://boxd.it/1Z2e,https://a.ltrbxd.com/resized/sm/upload/y3/bv/34/w2/monster-house-175-1200-1200-675-675-crop-000000.jpg?v=f359e07b1e,91,"ImageMovers, Amblin Entertainment","Monsters under the bed are scary enough, but what happens when an entire house is out to get you? Three teens aim to find out when they go up against a decrepit neighboring home and unlock its frightening secrets.",Monster House,"Reid, Zach",2006
2.55,Kevin James (Paul Blart),Keir O'Donnell (Veck),Jayma Mays (Amy),Raini Rodriguez (Maya),Shirley Knight (Mom),USA,Steve Carr,"Adventure, Comedy, Family, Action",English,https://boxd.it/1NQw,https://a.ltrbxd.com/resized/sm/upload/5p/vi/n6/b4/paul%20blart-1200-1200-675-675-crop-000000.jpg?v=75583c588e,91,"Hey Eddie, Columbia Pictures, Relativity Media, Happy Madison Productions","When a shopping mall is taken over by a gang of organized crooks, it's up to a mild-mannered security guard to save the day.",Paul Blart: Mall Cop,"Reid, Zach",2009
1.98,Kevin James (Paul Blart),Raini Rodriguez (Maya Blart),Neal McDonough (Vincent Sofel),Daniella Alonso (Divina Martinez),Eduardo Verástegui (Eduardo Furtillo),USA,Andy Fickman,"Comedy, Action, Family",English,https://boxd.it/7Acq,https://a.ltrbxd.com/resized/sm/upload/s6/ro/1z/4t/paul-blart-mall-cop-2-1200-1200-675-675-crop-000000.jpg?v=e47642e7d4,94,"Columbia Pictures, Hey Eddie, LStar Capital, Happy Madison Productions, Broken Road Productions","Security guard Paul Blart is headed to Las Vegas to attend a Security Guard Expo with his teenage daughter Maya before she departs for college. While at the convention, he inadvertently discovers a heist - and it's up to Blart to apprehend the criminals.",Paul Blart: Mall Cop 2,"Reid, Zach",2015
2.58,Shailene Woodley (Beatrice 'Tris' Prior),Theo James (Tobias 'Four' Eaton),Miles Teller (Peter Hayes),Kate Winslet (Jeanine Matthews),Ansel Elgort (Caleb Prior),USA,Robert Schwentke,"Action, Science Fiction, Thriller",English,https://boxd.it/7NNa,https://a.ltrbxd.com/resized/sm/upload/wu/zv/b8/v5/insurgent-1200-1200-675-675-crop-000000.jpg?v=c49a4e69c1,119,"Summit Entertainment, Red Wagon Entertainment, Mandeville Films",Beatrice Prior must confront her inner demons and continue her fight against a powerful alliance which threatens to tear her society apart.,Insurgent,"Reid, Zach",2015
