average_rating,cast_1,cast_2,cast_3,cast_4,cast_5,country,director,genres,language,letterboxd_uri,poster_url,runtime,studio,synopsis,title,watched_by,year
2.33,Chris Hemsworth (Thor),Natalie Portman (Jane Foster / The Mighty Thor),Christian Bale (Gorr),Tessa Thompson (King Valkyrie),Taika Waititi (Korg / Old Kronan God (voice)),USA,Taika Waititi,"Action, Fantasy, Comedy",English,https://boxd.it/mMAY,https://a.ltrbxd.com/resized/sm/upload/if/fa/6g/az/thor-1200-1200-675-675-crop-000000.jpg?v=7a8bd83a71,119,"Marvel Studios, Kevin Feige Productions","After his retirement is interrupted by Gorr the God Butcher, a galactic killer who seeks the extinction of the gods, Thor Odinson enlists the help of King Valkyrie, Korg, and ex-girlfriend Jane Foster, who now wields Mjolnir as the Mighty Thor. Together they embark upon a harrowing cosmic adventure to uncover the mystery of the God Butcher’s vengeance and stop him before it’s too late.",Thor: Love and Thunder,"Reid, Zach",2022
3.01,Robert Downey Jr. (Tony Stark),Gwyneth Paltrow (Pepper Potts),Don Cheadle (Lt. Col. James 'Rhodey' Rhodes),Scarlett Johansson (Natalie Rushman / Natasha Romanoff),Sam Rockwell (Justin Hammer),USA,Jon Favreau,"Adventure, Science Fiction, Action",English,https://boxd.it/1WZM,https://a.ltrbxd.com/resized/sm/upload/tg/cj/3a/jg/iron-man-2-50-1200-1200-675-675-crop-000000.jpg?v=879e105133,124,"Marvel Studios, Fairview Entertainment, Marvel Entertainment","With the world now aware of his dual life as the armored superhero Iron Man, billionaire inventor Tony Stark faces pressure from the government, the press and the public to share his technology with the military. Unwilling to let go of his invention, Stark, with Pepper Potts and James 'Rhodey' Rhodes at his side, must forge new alliances – and confront powerful enemies.",Iron Man 2,"Reid, Zach",2010
3.48,Jennifer Lawrence (Katniss Everdeen),Josh Hutcherson (Peeta Mellark),Liam Hemsworth (Gale Hawthorne),Woody Harrelson (Haymitch Abernathy),Elizabeth Banks (Effie Trinket),Germany,Francis Lawrence,"Adventure, Action, Science Fiction",English,https://boxd.it/4hk0,https://a.ltrbxd.com/resized/sm/upload/nt/h0/tn/ff/the-hunger-games-mockingjay-part-2-1200-1200-675-675-crop-000000.jpg?v=2644c829fe,137,"Lionsgate, Color Force, Studio Babelsberg","As the war between the Capitol and the districts reaches its peak, Katniss Everdeen embarks on a perilous mission to liberate Panem and confront President Snow. Joined by a team of trusted allies, she navigates deadly traps, shifting loyalties, and the heavy cost of rebellion, determined to bring freedom to her people and end the Hunger Games once and for all.",The Hunger Games: Mockingjay – Part 2,"Reid, Zach",2015
4.12,Hugh Jackman (Logan / X-24),Dafne Keen (Laura),Patrick Stewart (Charles),Elizabeth Rodriguez (Gabriela),Boyd Holbrook (Pierce),USA,James Mangold,"Drama, Science Fiction, Action",English,https://boxd.it/7Piy,https://a.ltrbxd.com/resized/sm/upload/3g/vl/z4/dt/logan-2017-1200-1200-675-675-crop-000000.jpg?v=33cba47db1,137,"Hutch Parker Entertainment, The Donners' Company, Genre Films, 20th Century Fox, Marvel Entertainment, TSG Entertainment","In the near future, a weary Logan cares for an ailing Professor X in a hideout on the Mexican border. But Logan's attempts to hide from the world and his legacy are upended when a young mutant arrives, pursued by dark forces.",Logan,"Reid, Zach",2017
3.21,Paul Rudd (Scott Lang / Ant-Man),Michael Douglas (Dr. Hank Pym),Evangeline Lilly (Hope van Dyne),Corey Stoll (Darren Cross / Yellowjacket),Bobby Cannavale (Paxton),USA,Peyton Reed,"Adventure, Science Fiction, Action",English,https://boxd.it/3vmW,https://a.ltrbxd.com/resized/sm/upload/6n/ne/n7/vu/ant-man-1200-1200-675-675-crop-000000.jpg?v=414d604c13,117,Marvel Studios,"Armed with the astonishing ability to shrink in scale but increase in strength, master thief Scott Lang must embrace his inner-hero and help his mentor, Doctor Hank Pym, protect the secret behind his spectacular Ant-Man suit from a new generation of towering threats. Against seemingly insurmountable obstacles, Pym and Lang must plan and pull off a heist that will save the world.",Ant-Man,"Reid, Zach",2015
2.62,Brie Larson (Carol Danvers / Vers / Captain Marvel),Samuel L. Jackson (Nick Fury),Ben Mendelsohn (Talos / Keller),Jude Law (Yon-Rogg),Annette Bening (Supreme Intelligence / Dr. Wendy Lawson),USA,"Ryan Fleck, Anna Boden","Science Fiction, Action, Adventure",English,https://boxd.it/9vSA,https://a.ltrbxd.com/resized/sm/upload/t6/3d/p9/22/captain-marvel-1200-1200-675-675-crop-000000.jpg?v=c93f53fe2c,124,Marvel Studios,"The story follows Carol Danvers as she becomes one of the universe’s most powerful heroes when Earth is caught in the middle of a galactic war between two alien races. Set in the 1990s, Captain Marvel is an all-new adventure from a previously unseen period in the history of the Marvel Cinematic Universe.",Captain Marvel,"Reid, Zach",2019
3.10,Robert Downey Jr. (Tony Stark),Gwyneth Paltrow (Pepper Potts),Don Cheadle (Colonel James Rhodes),Guy Pearce (Aldrich Killian),Rebecca Hall (Maya Hansen),USA,Shane Black,"Action, Adventure, Science Fiction",English,https://boxd.it/2cBQ,https://a.ltrbxd.com/resized/sm/upload/2r/k1/nj/pv/iron-man-3-1200-1200-675-675-crop-000000.jpg?v=d56c523b1f,130,Marvel Studios,"When Tony Stark's world is torn apart by a formidable terrorist called the Mandarin, he starts an odyssey of rebuilding and retribution.",Iron Man 3,"Reid, Zach",2013
2.85,Chris Hemsworth (Thor),Natalie Portman (Jane Foster),Tom Hiddleston (Loki),Anthony Hopkins (Odin),Stellan Skarsgård (Erik Selvig),USA,Kenneth Branagh,"Action, Adventure, Fantasy",English,https://boxd.it/1WQU,https://a.ltrbxd.com/resized/sm/upload/o8/mt/91/41/thor-20-1200-1200-675-675-crop-000000.jpg?v=4d6fafd09b,115,"Marvel Studios, Marvel Entertainment","Against his father Odin's will, The Mighty Thor - a powerful but arrogant warrior god - recklessly reignites an ancient war. Thor is cast down to Earth and forced to live among humans as punishment. Once here, Thor learns what it takes to be a true hero when the most dangerous villain of his world sends the darkest forces of Asgard to invade Earth.",Thor,"Reid, Zach",2011
3.92,Tom Hanks (Woody (voice)),Tim Allen (Buzz Lightyear (voice)),Joan Cusack (Jessie (voice)),Kelsey Grammer (Prospector (voice)),Don Rickles (Mr. Potato Head (voice)),USA,John Lasseter,"Comedy, Family, Animation",English,https://boxd.it/29qq,https://a.ltrbxd.com/resized/sm/upload/jn/7h/ol/bx/toy-story-2-1200-1200-675-675-crop-000000.jpg?v=b2895e172e,92,Pixar,"Andy heads off to Cowboy Camp, leaving his toys to their own devices. Things shift into high gear when an obsessive toy collector named Al McWhiggen, owner of Al's Toy Barn kidnaps Woody. Andy's toys mount a daring rescue mission, Buzz Lightyear meets his match and Woody has to decide where he and his heart truly belong.",Toy Story 2,"Reid, Zach",1999
3.40,Simu Liu (Shaun / Shang-Chi),Tony Leung Chiu-wai (Xu Wenwu),Awkwafina (Katy),Ben Kingsley (Trevor Slattery),Zhang Meng'er (Xialing),USA,Destin Daniel Cretton,"Adventure, Fantasy, Action",English,https://boxd.it/kLDI,https://a.ltrbxd.com/resized/sm/upload/g3/ha/ra/bu/shang-chi-1200-1200-675-675-crop-000000.jpg?v=813ec0e7aa,132,Marvel Studios,Shang-Chi must confront the past he thought he left behind when he is drawn into the web of the mysterious Ten Rings organization.,Shang-Chi and the Legend of the Ten Rings,"Reid, Zach",2021
